CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,TELEFONE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,ESTADO,CEP,DATA_ABERTURA,NOME_RESPONSAVEL,EMAIL_RESPONSAVEL
12345678912345,PEPSI COLA ENTERPRISES,PEPSI COLA,55555555555,AVENIDA PAULISTA,555,CENTRO   ,SÃO PAULO,SP,11223344,11/05/1970,ANTONIO CONSELHEIRO,antonio@gmail.com
11111112222222,MICROSOFT SA,MICROSOFT,6655445566,AVENIDA REDMOND,666,VILA DO SILÍCIO,SAO PAULO,SP,44556655,01/01/1970,WILLIAM GATES,adm@hotmail.com
44444444444444,UNIMED SAO PAULO,UNIMED,555555555,SANTA IFIGENIA,665,CENTRO,11478985,SP,11478985,11/04/1990,OSMAR PRADO,oprado@bol.com.br
44444445555555,MARILAN,MARILAN BISCOITOS LTDA,4455665544,RUA DA BOLACHA,10,INDUSTRIAL,MARILIA,SP,17665677,13/11/1980,SILVéRIO DA SILVA,silva@ucrania.com.br
77777777777777,TABAJARA LTDA,ORGANIZAÇÕES TABAJARA,456785654,RUA DO MILHO,22,CENTRAL,OURO PRETO,MG,44455556,02/12/1920,WILSON FISK,will@globo.com
77777777777776,LÁMEN MIOJOS,LÁMEN,789456123,RURAL,SN,RURAL,SALVADOR,BA,89554555,01/01/1900,ZÉ DE ARIMATÉIA,ze@oulook.com
66666666666666,NEW AGE,NOVA ERA,4564644464,JUJUNA,4564,HUHFS,GIGIOAS,MG,58885944,08/04/1980,UFUFSA,afduig@cão.com
88888888888888,COCA COLA COMPANY,COCA COLA,999888777,AVENIDA ATLANTA,888,DOWNTOWN,ATLANTA,GA,30301333,12/08/1886,ASA CANDLER,asa@cocacola.com
99999999999999,APPLE INC,APPLE,8005551234,INFINITE LOOP,1,CUPERTINO,CUPERTINO,CA,95014456,01/04/1976,STEVE JOBS,steve@apple.com
22222222222222,TESLA MOTORS,TESLA,9001234567,GIGAFATORY ROAD,42,NEVADA SPARKS,SPARKS,NV,89434678,29/06/2010,ELON MUSK,elon@tesla.com
33333333333333,AMAZON COM,AMAZON,7009876543,SEATTLE AVENUE,321,RAINY CITY,SEATTLE,WA,98109432,05/07/1994,JEFF BEZOS,jeff@amazon.com
55555555555555,FACEBOOK META,META,6005556789,MENLO PARK AVE,777,SILICON VALLEY,MENLO PARK,CA,94025456,04/02/2004,MARK ZUCKERBERG,mark@meta.com
12312312312312,BOEING INC,BOEING,555666777,BOEING FIELD,102,AEROSPACE,SEATTLE,WA,98108444,15/07/1916,WILLIAM BOEING,william@boeing.com
32132132132132,NASA,NASA,123123123,KENNEDY SPACE CENTER,1,SPACEPORT,CAPE CANAVERAL,FL,32920666,29/07/1958,NEIL ARMSTRONG,neil@nasa.gov
